"Points:0","Points:1","Points:2"
-6.8499,1.5496,0
-6.8821,1.37,0
-5.7847,1.1775,0
-6.4578,1.3265,0
-6.6999,1.5276,0
-6.4281,0.66993,0
-6.6078,0.36632,0
-6.6776,1.7545,0
-6.5157,0.20106,0
-6.3576,2.0002,0
-6.258,0.63369,0
-6.4953,-0.17952,0
-4.617,2.3133,0
-6.178,0.55429,0
-6.5357,2.3316,0
-6.4455,-0.55239,0
-5.9755,2.681,0
-6.1918,2.3036,0
-5.0562,1.1501,0
-5.9864,-0.25334,0
-6.3985,2.9625,0
-6.3218,-1.1338,0
-4.5491,-2.7486,0
-4.0011,2.609,0
-5.7216,-1.8211,0
-6.088,-2.3312,0
-6.3003,3.3114,0
-4.6416,4.1813,0
-5.209,4.7419,0
-4.0906,2.1832,0
-4.6259,-3.6217,0
-4.789,-3.8429,0
-4.2498,1.8258,0
-5.8256,3.8688,0
-6.237,4.1221,0
-5.7701,4.5207,0
-3.8298,1.797,0
-6.0649,4.3279,0
-3.837,3.3939,0
-3.8245,1.5016,0
-5.6298,-2.9855,0
-6.11,4.6364,0
-3.4185,3.2398,0
-3.8797,4.6076,0
-5.8201,-2.3959,0
-5.961,-3.2672,0
-6.1318,3.9983,0
-5.082,-3.5396,0
-3.5245,3.679,0
-5.2707,-3.7777,0
-6.2789,3.9746,0
-3.5314,4.5857,0
-5.7447,-3.7222,0
-4.237,2.8628,0
-3.0149,4.4053,0
-5.5717,-3.3672,0
-4.7325,4.8449,0
-2.7351,3.4083,0
-4.3452,-3.4725,0
-1.9928,4.8704,0
-3.3742,-3.7303,0
-2.2426,3.4673,0
-2.0655,-2.2939,0
-4.3569,4.9229,0
-6.0788,-2.6302,0
-1.1081,4.9325,0
-0.3665,3.2598,0
-1.7138,2.7124,0
-1.3141,3.9458,0
-6.0547,-2.8691,0
-4.1885,4.0557,0
-4.2039,-3.8302,0
-3.7116,4.8677,0
-3.8552,-3.8342,0
-3.3511,-3.9436,0
-3.7115,5.1282,0
-4.774,-0.55896,0
-3.3319,-0.40725,0
-4.5549,0.69003,0
-3.2079,-3.8911,0
-3.3044,-1.7763,0
-3.1421,4.7948,0
-3.8688,0.5711,0
-2.3635,-3.6145,0
-3.0235,5.1556,0
-3.5246,-3.9145,0
-2.1052,-3.9786,0
-4.002,-3.8933,0
-3.8619,-3.6785,0
-3.4002,1.2822,0
-3.7097,4.7017,0
-3.8231,5.0204,0
-2.3872,5.2528,0
-3.0671,-3.009,0
-4.4151,-3.665,0
-4.2164,3.9035,0
-2.862,-3.5203,0
-4.0617,4.514,0
-5.8071,-2.6725,0
-2.9028,0.92637,0
-1.9606,-3.4012,0
-1.6646,3.3369,0
-2.6726,3.7053,0
-1.4463,4.6286,0
-1.2197,-3.9431,0
-2.0851,2.5862,0
-1.6013,5.2101,0
-1.1568,3.5568,0
-2.1398,2.2826,0
-1.4746,5.4357,0
-1.9439,3.0087,0
-0.86082,5.4891,0
-2.7328,1.5074,0
-1.7538,-3.2241,0
-4.6018,4.6075,0
-0.54563,-4.0047,0
-1.6617,3.9952,0
-0.0068475,-4.2218,0
-1.8676,-3.8911,0
-2.5171,4.388,0
-1.5276,-3.1041,0
-0.52611,5.5695,0
-4.143,-3.3915,0
-2.646,-3.7581,0
-0.26264,4.9775,0
-1.85,5.2663,0
-1.8942,5.4234,0
0.19987,-3.9964,0
-3.71,-3.9198,0
-0.29426,5.5483,0
-4.3992,-3.858,0
0.2001,-4.1972,0
-2.9488,3.6048,0
0.25967,5.6089,0
-2.2591,2.9226,0
-0.82599,-0.95645,0
-4.3307,4.2641,0
-1.685,1.0604,0
-5.7383,-3.2197,0
-5.3887,-3.3756,0
0.97841,-4.3123,0
-3.2996,4.2034,0
-2.8661,4.9991,0
-0.74081,-2.7723,0
-4.3132,2.5559,0
-4.1204,3.4039,0
0.67372,-3.2935,0
-5.949,-3.45,0
1.7009,-4.0935,0
-3.8456,4.3987,0
-3.3933,5.1105,0
1.0711,5.887,0
2.4177,-4.3796,0
1.7453,5.8178,0
-1.9435,1.9893,0
-3.627,4.0504,0
-2.8891,3.4499,0
1.5492,4.9169,0
-4.7569,-3.3169,0
4.4302,-0.35724,0
-5.0838,-3.738,0
2.2507,5.3529,0
2.702,5.3562,0
-5.9865,4.0029,0
3.6389,-3.1704,0
3.1223,5.1899,0
-5.9074,-3.1231,0
3.0256,-4.1147,0
-5.8858,-2.2134,0
-5.3191,-2.7163,0
6.1796,-0.61008,0
-4.1753,5.0042,0
3.061,5.0245,0
2.3033,-4.2078,0
-2.8513,3.2851,0
3.762,4.9135,0
3.6089,-4.2643,0
4.3035,2.9968,0
-5.9701,4.4613,0
3.8342,-4.577,0
5.9292,-0.0096907,0
-5.5824,-2.3188,0
3.9868,-4.502,0
-5.0469,-0.068214,0
4.0615,4.3229,0
-3.5267,1.4758,0
3.6844,-4.018,0
-4.7195,3.2984,0
4.2433,4.5195,0
4.6344,4.3657,0
4.3867,-4.5141,0
3.9149,-3.8906,0
5.7924,1.5125,0
-5.9253,4.2689,0
5.8426,-2.7057,0
-5.9068,4.671,0
6.6207,1.6522,0
-6.2021,4.29,0
5.3427,-4.1502,0
-5.6289,4.3472,0
5.045,3.7706,0
-5.9994,3.2666,0
5.5803,-4.6259,0
-6.3102,3.6682,0
6.9278,1.9078,0
-4.3533,2.1209,0
6.5835,-3.045,0
-3.8699,2.0691,0
5.4359,4.0464,0
-4.7722,-3.6959,0
-5.0992,-3.2311,0
6.8582,2.0402,0
6.9134,1.5275,0
-3.945,2.2394,0
6.3961,1.6809,0
-4.8324,4.6131,0
0.99898,0.62061,0
-4.9832,4.7931,0
5.739,3.828,0
-3.9004,3.148,0
4.4524,4.4839,0
6.6197,2.7211,0
-6.3921,3.5052,0
6.8878,1.3199,0
-6.179,-2.0904,0
6.2568,1.9841,0
-5.972,-2.7192,0
6.5696,1.0089,0
-6.1508,-1.4249,0
5.6816,3.2316,0
-4.9298,-1.8139,0
6.8912,0.74459,0
-4.1518,2.4682,0
5.7682,-4.5116,0
-3.5736,3.1214,0
5.8568,3.6486,0
6.5266,3.2768,0
-6.2581,-0.647,0
2.029,-3.5025,0
-6.3402,-1.6659,0
6.9286,2.8632,0
-6.1107,3.0242,0
6.676,-0.048116,0
6.886,3.1552,0
-5.7204,0.088382,0
6.9306,-0.11027,0
-6.054,-1.6156,0
-5.9343,0.63286,0
-3.6387,1.701,0
6.7407,3.3056,0
-6.3701,2.2149,0
6.738,-0.81663,0
-6.2058,2.6944,0
-4.5896,2.689,0
6.9072,-1.0455,0
-6.3341,2.5668,0
6.9287,-1.1777,0
6.522,-3.8525,0
-6.0562,1.939,0
6.3494,-1.6561,0
6.8395,-1.7332,0
-6.4689,-0.37917,0
-3.8603,2.6309,0
5.5888,-1.6303,0
-3.8825,2.5186,0
6.8335,-4.0373,0
6.8715,-2.0402,0
-6.1617,1.1001,0
6.9086,-2.6871,0
-6.5684,0.019434,0
4.5921,-4.1509,0
-6.5523,2.1381,0
6.6141,-4.4171,0
6.8495,-3.1206,0
6.8257,-3.4782,0
-6.5723,1.9043,0
6.313,-3.2341,0
6.6681,-4.744,0
-6.3305,0.79847,0
6.1572,-4.6254,0
6.7515,-4.5445,0
6.85,-4.2882,0
-6.73,1.2912,0
6.883,-4.4218,0
-6.6409,0.92586,0
-3.979,1.8788,0
-6.7309,1.1144,0
-1.7005,5.4195,0
-1.7897,5.0969,0
-6.4799,0.81456,0
-6.5754,0.70584,0
-0.6104,5.3381,0
-0.13407,5.6672,0
-2.4569,-4.0163,0
-6.6875,0.55778,0
-2.8002,-3.7887,0
-6.5329,1.6661,0
-6.5001,1.483,0
-4.5276,-3.1326,0
-3.74,-3.2861,0
-0.88775,4.6918,0
-6.1846,1.4135,0
-6.4153,0.3768,0
-0.10957,-4.1348,0
-2.3154,4.8669,0
-2.3039,4.0848,0
-5.2706,1.7421,0
-6.515,0.53453,0
-1.966,-4.0205,0
-2.133,-3.6213,0
-6.2907,0.10048,0
0.39935,-4.2538,0
-5.7616,2.1542,0
-1.6811,4.5231,0
-1.4416,4.2075,0
-6.3559,2.4053,0
-1.0459,-3.7215,0
-6.3159,-0.27385,0
-4.5139,4.7915,0
-6.5413,2.7007,0
-6.2126,2.1267,0
-6.0107,0.029066,0
-0.92074,-4.0797,0
-1.5755,-3.6575,0
-6.3493,-0.82586,0
-2.6613,0.59308,0
-6.4454,3.1457,0
-6.3201,-1.3913,0
-6.0585,-2.2284,0
-1.932,3.3036,0
-1.734,3.0502,0
-5.7835,-1.0777,0
-3.9045,2.753,0
-6.2392,-1.9322,0
-2.0181,2.3189,0
-2.4306,1.1781,0
-1.4675,3.6168,0
-5.0173,2.5319,0
-0.96152,3.5823,0
-1.6385,4.9612,0
-5.7026,4.7167,0
-4.7217,1.9388,0
-1.9595,2.7092,0
-6.1405,3.6019,0
-1.292,-3.7455,0
-4.6874,1.1996,0
-0.68495,-4.2424,0
-5.0689,4.3664,0
-5.5332,4.7583,0
-2.1637,4.5329,0
-3.9012,1.6773,0
-1.4024,5.0496,0
-2.9882,3.956,0
-2.0808,3.7978,0
-2.3714,3.1381,0
-1.5918,3.6546,0
-2.0128,-3.8403,0
-3.6593,1.5549,0
-2.1854,-2.959,0
-2.0739,-1.2238,0
-4.9036,-3.7658,0
-2.8591,1.3987,0
-5.649,-2.759,0
-3.6963,1.0991,0
-5.8403,-2.8631,0
-6.1643,4.4577,0
-4.3116,4.6463,0
-4.0538,4.7247,0
-2.963,-3.9278,0
-3.7576,3.2132,0
-3.6719,3.4258,0
-6.1334,-2.4588,0
-5.9237,-3.668,0
-3.1417,-3.368,0
-5.7097,-3.3996,0
-4.7832,4.0101,0
-3.1566,3.3634,0
-4.6085,-3.8095,0
-5.2727,-3.5892,0
-3.1313,-3.7603,0
-3.8101,-2.6443,0
-3.002,3.3169,0
-2.7875,5.195,0
-5.4365,-3.7264,0
-2.7177,3.2696,0
-3.234,1.5189,0
-3.3401,0.27773,0
-4.1893,-3.6066,0
-3.3484,-3.465,0
-2.4611,3.2421,0
-2.1097,2.7429,0
-2.4638,-3.8199,0
-3.0609,1.4875,0
-4.0245,4.9284,0
-5.9888,-2.3581,0
-3.6717,-3.7304,0
-0.74788,5.6078,0
-2.1643,-3.8392,0
-0.52194,4.3087,0
-4.264,1.0393,0
-3.3274,1.1908,0
-4.0712,3.7886,0
-3.3526,4.5359,0
-3.2327,5.1799,0
-2.5744,-1.7624,0
-3.5446,4.7995,0
-3.8711,-3.096,0
-6.1794,-2.2718,0
-2.6631,-3.9424,0
-4.3958,1.2632,0
-3.3724,4.9052,0
-3.9451,-0.18902,0
-5.9884,-0.6699,0
-3.0702,1.3478,0
-2.1369,0.13017,0
-4.3865,-1.4147,0
-5.631,0.93042,0
-3.8622,-0.65348,0
-2.5883,4.7601,0
-4.5067,0.14711,0
-2.6022,-2.3434,0
-2.7023,4.4466,0
-3.3893,1.5691,0
-1.3487,-4.0354,0
-1.9862,5.0944,0
-2.732,-3.1821,0
-3.8121,3.5472,0
-2.3901,-3.2592,0
-4.0527,4.313,0
-2.2907,5.3424,0
-5.9394,-2.5366,0
-2.8983,1.5126,0
-6.0308,-3.1224,0
-1.0267,3.2196,0
-2.5856,3.5393,0
